account,debit,credit,date_maturity,payment_mode,analytic_acc
(Código de la cuenta,,,,,
 contable),(Debe),(Haber),(Fecha vencimiento),,
,,,,,
,,,,,
,,,,,
40000005,,"0,07",08/31/2018,,
40000005,,"0,18",11/30/2018,,
40000005,,"3,73",11/30/2018,,
40000005,,"6340,74",01/29/2019,,
40000005,,"11857,58",01/29/2019,,
40000005,,"11643,38",01/29/2019,,
40000005,,"13845,77",01/29/2019,,
40000005,,"7640,18",01/30/2019,,
40000005,,"0,15",03/01/2019,,
40000005,,"8586,18",03/01/2019,,
40000005,,"12227,5",03/01/2019,,
40000005,,"17328,02",03/01/2019,,
40000005,,"17938,76",03/01/2019,,
40000005,,"24485,47",03/01/2019,,
41000001,,"577,17",10/11/2018,Domiciliado proveedor,
41000027,,"-7,2",10/31/2018,,
41000027,,"-14,4",10/31/2018,,
41000029,,"9659,6",01/01/2017,Domiciliado proveedor,
41000030,,150,12/21/2018,Domiciliado proveedor,
41000031,,"440,34",01/02/2019,Domiciliado proveedor,
41000046,,"-20,27",12/01/2018,,
41000046,,"-18,12",12/01/2018,,
41000046,,"-25,79",12/03/2018,,
41000046,,"-6,98",12/03/2018,,
41000046,,"-6,43",12/03/2018,,
41000046,,"-13,66",12/04/2018,,
41000046,,"-5,99",12/04/2018,,
41000046,,"-27,45",12/04/2018,,
41000046,,"-8,08",12/11/2018,,
41000046,,"-9,63",12/11/2018,,
41000046,,"-5,72",12/12/2018,,
41000046,,"-5,72",12/12/2018,,
41000046,,"-11,04",12/12/2018,,
41000046,,"-17,77",12/12/2018,,
41000046,,"-18,37",12/14/2018,,
41000046,,"-18,28",12/14/2018,,
41000046,,"-51,99",12/18/2018,,
41000046,,"-28,81",12/18/2018,,
41000046,,"-47,46",12/18/2018,,
41000046,,"-31,54",12/18/2018,,
41000046,,"-5,99",12/19/2018,,
41000046,,"-28,97",12/20/2018,,
41000046,,"-21,87",12/20/2018,,
41000050,,"16,94",07/17/2018,Domiciliado proveedor,
41000050,,"-40,33",07/31/2018,,
41000050,,"-37,32",08/31/2018,,
41000060,,"907,5",12/03/2018,Domiciliado proveedor,
41000104,,"2873,87",12/11/2018,Domiciliado proveedor,
41000106,,"6051,2",01/16/2019,Transferencia proveedor,
41000121,,"40,33",07/12/2018,Domiciliado proveedor,
41000137,,"-19,76",12/31/2018,,
41000137,,"4260,59",01/31/2019,Transferencia proveedor,
41000137,,"1901,28",01/31/2019,Transferencia proveedor,
41000139,,"-42,35",10/18/2018,,
